uuid;title;price;image;coordinates;guests;bedrooms;beds;bathrooms;description
f96e4446-f289-41ef-a518-fe57c00d051b;"Jacuzzi 55""SmartTV Панорамный вид, Минск-центр города";37;IMG-f96e4446-f289-41ef-a518-fe57c00d051b.jpg;53.90841528,27.52550983;6;1;4;1;"Located 1.6 km from Palova Arena, Jacuzzi 55""SmartTV Панорамный вид, Минск-центр города provides accommodation with a bar, a garden and a 24-hour front desk for your convenience. The accommodation features a spa bath. Accommodation is fitted with air conditioning, a fully equipped kitchenette with a dining area, a flat-screen TV and a private bathroom with hot tub, slippers and a hairdryer. Some units include a seating area and/or a balcony. A continental breakfast is available daily at the apartment. Jacuzzi 55""SmartTV Панорамный вид, offers a children's playground. A car rental service is available at the accommodation, while cycling can be enjoyed nearby. Minsk Sports Palace is 1.6 km from Jacuzzi 55""SmartTV Панорамный вид, Минск-центр города, while Olympic Tennis Centre is 1.9 km away. The nearest airport is Minsk National, 33 km from the apartment, and the property offers a paid airport shuttle service. "
d8a5e234-72f5-40e1-84b9-9d6d5421816e;"Sauna Jacuzzi 55""SmartTV Панорамный вид, Минск-центр города";46;IMG-d8a5e234-72f5-40e1-84b9-9d6d5421816e.jpg;53.90969137,27.51804327;3;3;1;2;"Set in Minsk, 1.7 km from Olympic Tennis Centre, Sauna Jacuzzi 55""SmartTV Панорамный вид, Минск-центр города offers accommodation with a bar, free WiFi, a 24-hour front desk, and room service. The property was built in 2017 and has air-conditioned accommodation with a balcony. The apartment features 1 bedroom, a flat-screen TV with cable channels, an equipped kitchen with a microwave and a fridge, a washing machine, and 1 bathroom with a hot tub. Towels and bed linen are featured in this accommodation. Guests at the apartment can enjoy a continental or a à la carte breakfast. Sauna Jacuzzi 55""SmartTV Панорамный offers a children's playground. Guests at the accommodation can enjoy hiking nearby, or make the most of the garden. Palova Arena is 2.1 km from Sauna Jacuzzi 55""SmartTV Панорамный вид, Минск-центр города, while Minsk Sports Palace is 2.1 km away. The nearest airport is Minsk National, 34 km from the apartment, and the property offers a paid airport shuttle service. "
f3a609f8-a581-47dd-b507-b7be0fcb1ebf;Victoria & SPA Minsk;62;IMG-f3a609f8-a581-47dd-b507-b7be0fcb1ebf.jpg;53.92284117,27.52537072;5;1;1;2;Offering a restaurant, free sauna and indoor pool, Victoria & SPA Hotel Minsk is located in Minsk, a 5-minute walk from Victory Park. Free Wi-Fi and free private parking are available on site. Rooms here will provide you with a flat-screen TV, air conditioning and a minibar. The private bathrooms also come with a bath and a hairdryer. At Victoria & SPA Hotel Minsk you will find a bar and a mini-market on site. Guests are welcome to visit the on-site restaurant Victoria Platinum and taste Belorussian and European cuisine. Guests can relax at the on-site SPA centre with spa facilities. It offers massages, cosmetology procedures and a hairdresser's. lake Komsomolskoe is located a 10-minute walk from Victoria & SPA Hotel Minsk. Nemiga Metro Station is located 1.5 km from the property. The distance to Minsk International Airport is 40 km from the hotel, and Minsk Train Station is 7 km away. 
fb2ef521-f315-4239-8935-954ce8708c95;JACUZZI New LOFT ApartComplex Kaskad, Минск - центр города;40;IMG-fb2ef521-f315-4239-8935-954ce8708c95.jpg;53.90689843,27.52506994;6;1;3;2;With city views, JACUZZI New LOFT ApartComplex Kaskad, Минск - центр города is situated in Minsk and has a restaurant, a 24-hour front desk, bar, garden, children's playground and terrace. The accommodation has a spa bath and a hot tub. Accommodation is fitted with air conditioning and features a flat-screen TV with cable channels, a fully equipped kitchen with a dining area, and a private bathroom with a hairdryer. Some units have a seating area and/or a balcony. A continental breakfast is available each morning at the aparthotel. A casino is available on site and hiking can be enjoyed within close proximity of JACUZZI New LOFT ApartComplex. Palova Arena is 1.7 km from the accommodation, while Minsk Sports Palace is 1.7 km from the property. The nearest airport is Minsk National, 33 km from JACUZZI New LOFT ApartComplex Kaskad, Минск - центр города, and the property offers a paid airport shuttle service. 
9ed1ec38-7d45-4c77-8517-a6d79a86b32c;Riviera Apartment;53;IMG-9ed1ec38-7d45-4c77-8517-a6d79a86b32c.jpg;53.89328000,27.54995100;5;2;3;2;Right in the heart of Minsk, situated within a short distance of Dinamo Stadium and Palace of Republic, Riviera Apartment offers free WiFi, air conditioning and household amenities such as a dishwasher and kettle. This apartment is 4 km from Olympic Tennis Centre and 5 km from Olympic Sports Complex. The apartment features 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV, a dining area, a fully equipped kitchen, and a balcony with city views. The apartment offers a à la carte or American breakfast. Speaking English and Russian at the reception, staff are willing to help at any time of the day. A car rental service is available at Riviera Apartment. Palova Arena is 1.9 km from the accommodation, while Minsk Sports Palace is 2 km from the property. The nearest airport is Minsk National, 32 km from Riviera Apartment, and the property offers a paid airport shuttle service. 
a9155dc3-9bd2-47f9-903d-bb4cc7fccb4a;Hampton by Hilton Minsk City Centre;36;IMG-a9155dc3-9bd2-47f9-903d-bb4cc7fccb4a.jpg;53.88892526,27.54406478;5;1;3;2;Offering a fitness centre and a 24-hour front desk, Hampton by Hilton Minsk City Centre is set a 7-minute walk from Minsk Train Station. Ploshcha Lenina Metro Station is 1 km from the hotel. All units come with air conditioning, ironing facilities, cable TV, electric kettle and working area. The bathrooms provide a hairdryer, slippers and free toiletries. Guests can dine in the on-site restaurant. Business facilities are also featured. Yanka Kupala National Academic Theatre is 1.8 km away, while Belarusian National Arts Museum is 1.5 km from the property. Metro Station is a minute walk. Minsk National Airport is 37 km from Hampton by Hilton Minsk City Centre. 
efe4b2c7-14e2-41a7-b481-0e87652acd84;2-Level Penthouse Riverview;34;IMG-efe4b2c7-14e2-41a7-b481-0e87652acd84.jpg;53.91294900,27.55545300;2;1;2;2;Right in the heart of Minsk, situated within a short distance of Palova Arena and Palace of Republic, 2-Level Penthouse Riverview offers free WiFi, air conditioning and household amenities such as a dishwasher and kettle. It is set 2 km from Minsk Sports Palace and features room service. The apartment features 3 bedrooms, 2 bathrooms, bed linen, towels, a flat-screen TV with satellite channels, a fully equipped kitchen, and a balcony with river views. The apartment offers a hot tub. Hiking can be enjoyed nearby. Dinamo Stadium is 2.8 km from 2-Level Penthouse Riverview, while Olympic Tennis Centre is 4.2 km from the property. The nearest airport is Minsk National, 43 km from the accommodation, and the property offers a paid airport shuttle service. 
f1989fb2-45a6-4ce1-b291-051e027ae6e4;Royal Apartments Minsk;38;IMG-f1989fb2-45a6-4ce1-b291-051e027ae6e4.jpg;53.89763764,27.55328178;4;1;4;1;These modernly decorated, self-catering apartments are located in the historic centre of Minsk and come with free Wi-Fi. Apartments have various locations within a 5-minute walk of restaurants and shops. Apartments at Royal Apartments Minsk are brightly decorated and fully equipped with a flat-screen TV, balcony, and private bathroom.  Each one has a kitchen with dining area. Some include air conditioning. Royal Apartments Minsk is 500 m from Gorky Theatre and 800 m from the Fine Arts Museum.  The central Train Station is a 3-minute car ride away. Minsk Airport is a 40-minute drive from the apartments.  Guests can request an airport shuttle for an extra charge. 
e25e04ec-4677-4ee5-820c-e3743ea5d7ab;DoubleTree by Hilton Minsk;57;IMG-e25e04ec-4677-4ee5-820c-e3743ea5d7ab.jpg;53.90800000,27.54860200;3;1;2;1;DoubleTree by Hilton Minsk is located in the heart of Minsk next to the historic centre within a 5-minute walk of Nyamiha Metro Station. Free WiFi is available throughout the hotel. You can admire beautiful city views through the large windows and feel at home with a flat-screen TV and a desk with ergonomic chair in all rooms. The private bathroom features walk-in shower and complimentary toiletries. Guests can enjoy 36 days aged beef, fresh fish and seafood, Pan-Asian and Mediterranean cuisine in the on-site restaurants, as well as pick up the perfect wine pair from the rich collection in Ember restaurant or Ember 7th Heaven terrace with a stunning view. The lobby-café Beans&Leaves with a sun filled terrace is the ideal place for business meetings, pleasant get-togethers, and a cup of coffee or an open-air summer lunch. Sky Lounge BAR:DOT XX1, located on the 21st floor, offers biggest selection of champagne and signature cocktails, live music and DJ-sets, sparkling atmosphere and vibrant parties. You can also enjoy impressive sunset views of the city. A modern 24-hour fitness centre is available to guests as well as a 24-hour front desk at the property. The hotel has a fully equipped conference hall for up to 350 persons as well as complimentary 24-hour business centre. The Central train station is 3.5 km from the hotel. Minsk International Airport is located 45 km away. 
8c8a833a-89d1-4ddd-86fb-7d18ce3d48ec;JACUZZI Sauna Luxe ApartComplex, Минск-центр города;64;IMG-8c8a833a-89d1-4ddd-86fb-7d18ce3d48ec.jpg;53.90858593,27.52400779;5;3;2;2;Featuring a bar, garden and views of garden, JACUZZI Sauna Luxe ApartComplex, Минск-центр города is located in Minsk, 2 km from Palova Arena. Among the facilities of this property are a restaurant, a 24-hour front desk and room service, along with free WiFi. The hotel features family rooms. All units at the hotel come with air conditioning, a seating area, a flat-screen TV with cable channels, a kitchen, a dining area and a private bathroom with slippers, a hot tub and a hairdryer. JACUZZI Sauna Luxe ApartComplex, provides certain rooms that include a patio, and each room is fitted with a kettle. At the accommodation every room is equipped with bed linen and towels. A continental breakfast is available daily at JACUZZI Sauna Luxe ApartComplex, Минск-центр города. The hotel offers a children's playground. Olympic Tennis Centre is 2.7 km from JACUZZI Sauna Luxe ApartComplex, while Dinamo Stadium is 3.3 km away. The nearest airport is Minsk National, 47 km from the accommodation, and the property offers a paid airport shuttle service. 
